,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
FGF6_FGFR1_1,FGF6_FGFR1_1,FGF,fgf6a,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6a - fgfr1a"
FGF6_FGFR1_2,FGF6_FGFR1_2,FGF,fgf6a,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6a - fgfr1bl"
FGF6_FGFR1_3,FGF6_FGFR1_3,FGF,fgf6a,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6a - fgfr1b"
FGF6_FGFR1_4,FGF6_FGFR1_4,FGF,fgf6b,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6b - fgfr1a"
FGF6_FGFR1_5,FGF6_FGFR1_5,FGF,fgf6b,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6b - fgfr1bl"
FGF6_FGFR1_6,FGF6_FGFR1_6,FGF,fgf6b,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6b - fgfr1b"
FGF6_FGFR2_1,FGF6_FGFR2_1,FGF,fgf6a,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6a - fgfr2"
FGF6_FGFR2_2,FGF6_FGFR2_2,FGF,fgf6b,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6b - fgfr2"
FGF6_FGFR3_1,FGF6_FGFR3_1,FGF,fgf6a,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6a - fgfr3"
FGF6_FGFR3_2,FGF6_FGFR3_2,FGF,fgf6b,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf6b - fgfr3"
FGF7_FGFR1_1,FGF7_FGFR1_1,FGF,fgf7,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf7 - fgfr1a"
FGF7_FGFR1_2,FGF7_FGFR1_2,FGF,fgf7,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf7 - fgfr1bl"
FGF7_FGFR1_3,FGF7_FGFR1_3,FGF,fgf7,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf7 - fgfr1b"
FGF7_FGFR2,FGF7_FGFR2,FGF,fgf7,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf7 - fgfr2"
